table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
.Independence city (pt.),Missouri,"113,023","113,288",-265,-0.2
.Kansas City city (pt.),Missouri,"320,340","322,806","-2,466",-0.8
.Lake Lotawana city,Missouri,"1,915","1,872",43,2.3
.Lake Tapawingo city,Missouri,839,843,-4,-0.5
.Lee's Summit city (pt.),Missouri,"73,681","69,520","4,161",6.0
.Levasy city,Missouri,105,108,-3,-2.8
.Lone Jack city,Missouri,549,528,21,4.0
.Oak Grove city (pt.),Missouri,"6,426","5,520",906,16.4
.Raytown city,Missouri,"30,060","30,388",-328,-1.1
.River Bend village,Missouri,10,10,-,-
.Sibley village,Missouri,346,347,-1,-0.3
.Sugar Creek city (pt.),Missouri,"3,763","3,839",-76,-2.0
.Unity Village village,Missouri,138,140,-2,-1.4
.Balance of Jackson County,Missouri,"21,310","20,841",469,2.3
Jasper County,Missouri,"107,073","104,686","2,387",2.3
.Airport Drive village,Missouri,632,622,10,1.6
.Alba city,Missouri,597,588,9,1.5
.Asbury city,Missouri,224,218,6,2.8
.Avilla town,Missouri,140,137,3,2.2
.Brooklyn Heights town,Missouri,129,125,4,3.2
.Carl Junction city,Missouri,"5,673","5,294",379,7.2
.Carterville city,Missouri,"1,885","1,850",35,1.9
.Carthage city,Missouri,"12,810","12,680",130,1.0
.Carytown city,Missouri,220,217,3,1.4
.Duenweg city,Missouri,"1,045","1,034",11,1.1
.Duquesne village,Missouri,"1,694","1,640",54,3.3
.Fidelity town,Missouri,260,252,8,3.2
.Jasper city,Missouri,"1,027","1,011",16,1.6
.Joplin city (pt.),Missouri,"41,035","40,433",602,1.5
.La Russell city,Missouri,142,138,4,2.9
.Neck City city,Missouri,122,119,3,2.5
.Oronogo city,Missouri,"1,006",976,30,3.1
.Purcell city,Missouri,365,357,8,2.2
