    "","Table 6a.--Direct Investment: Income, Capital, Royalties and License Fees, and Other Private Services",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)",
    "","",
    "","U.S. direct investment abroad:",
    "","",
  "62",          -661,          -657,          -598,          -718,          -843,          -799,          -630,          -623,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "63",          1869,          2147,          1973,          1975,          1723,          1995,          2142,          2131,
  "64",          6679,          7671,          6035,          6262,          6380,          6517,          6858,          6969,
  "65",         -4810,         -5524,         -4062,         -4287,         -4657,         -4522,         -4716,         -4838,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "66",        -19359,        -18580,         -8134,        -13464,        -15350,        -12510,        -15419,        -17414,
  "67",        -14836,        -13840,         -2811,         -7762,         -9412,         -6345,        -10870,        -12979,
  "68",         -1832,         -5979,         -6202,         -7028,         -2458,         -3889,         -2806,         -5872,
  "69",        -13005,         -7861,          3391,          -734,         -6954,         -2456,         -8064,         -7107,
  "70",        -10544,         -5464,          5672,          1645,         -4504,            37,         -5554,         -4608,
  "71",         -2461,         -2397,         -2281,         -2379,         -2450,         -2493,         -2510,         -2499,
  "72",         -4523,         -4740,         -5323,         -5702,         -5938,         -6165,         -4549,         -4435,
  "73",         -4991,         -5213,         -5617,         -6093,         -6276,         -6676,         -5011,         -4839,
  "74",           468,           472,           294,           391,           338,           511,           462,           404,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "75",        -16898,        -16183,         -5853,        -11085,        -12900,        -10017,        -12909,        -14915,
  "76",         -6742,         -6531,         -3496,         -6086,         -6704,         -5935,         -4170,         -5755,
  "77",         -3551,         -3543,         -2816,         -4132,         -3729,         -2463,         -5385,         -3522,
  "78",         -3081,         -2791,         -1914,            48,          -728,          -431,         -1864,         -3175,
  "79",         -3524,         -3318,          2373,          -915,         -1739,         -1188,         -1490,         -2463,
  "80",        -12375,        -11443,          -530,         -5383,         -6962,         -3852,         -8360,        -10480,
  "81",         -4340,         -4021,          -307,         -2841,         -3704,         -3487,         -1941,         -3558,
  "82",         -3443,         -3458,         -2596,         -3928,         -3525,         -2319,         -5240,         -3401,
  "83",         -2791,         -2429,         -1413,           730,           247,           845,         -1464,         -2784,
  "84",         -1801,         -1535,          3786,           656,            20,          1109,           285,          -737,
  "85",         -4523,         -4740,         -5323,         -5702,         -5938,         -6165,         -4549,         -4435,
  "86",         -2402,         -2510,         -3189,         -3245,         -3000,         -2448,         -2229,         -2197,
  "87",          -108,           -86,          -220,          -204,          -204,          -144,          -145,          -121,
  "88",          -290,          -361,          -501,          -682,          -975,         -1276,          -400,          -391,
  "89",         -1723,         -1783,         -1413,         -1571,         -1759,         -2297,         -1775,         -1726,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "90",          2285,         20217,         10607,          -456,         14199,         15281,         34478,         22483,
  "91",          7517,          8367,         12717,         24009,         24318,          9282,         32710,          5338,
  "92",          8855,         11848,         17180,         25965,         27649,         13290,         33539,          9110,
  "93",         -1338,         -3481,         -4463,         -1956,         -3331,         -4008,          -829,         -3772,
  "94",         13005,          7861,         -3391,           734,          6954,          2456,          8064,          7107,
  "95",        -18237,          3989,          1281,        -25199,        -17073,          3543,         -6296,         10038,
  "96",         -9366,          6275,           729,        -12106,        -15762,          4559,         -1614,          7279,
  "97",         -8871,         -2287,           552,        -13093,         -1311,         -1016,         -4682,          2759,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "98",          -176,         17820,          8326,         -2835,         11749,         12788,         31968,         19984,
  "99",         -1919,          1243,          1743,         -7483,          5680,          4504,          8949,          8925,
 "100",          2868,          3208,          -631,          3873,          4825,          2747,          5712,          4134,
